region,lon,lat,e,d,date,road_type,accident_type,collision_type,severity,weather,vehicle_type,car_brand,age
Moravia-Silesia,18.27787513350726,49.77933329503702,-1107764,-471475,24.05.2023,Local Road,Moving Vehicle Collision,Frontal,Serious,Good,Motorcycle,BMW,32
Moravia-Silesia,18.27100020807297,49.7976391348953,-1105693,-471794,25.05.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,MAZDA,53
Moravia-Silesia,18.24996019960384,49.8085498205663,-1104354,-473199,25.05.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,22
Moravia-Silesia,18.23173564325737,49.799048799928784,-1105294,-474597,27.05.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,48
Moravia-Silesia,18.277193102757096,49.80686276125311,-1104709,-471262,29.05.2023,First Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Motorcycle,HONDA,50
Moravia-Silesia,18.284761754485434,49.83834194106914,-1101267,-470420,11.06.2023,Second Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,24
Moravia-Silesia,18.284761754485434,49.83834194106914,-1101267,-470420,11.06.2023,Second Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,20
Moravia-Silesia,18.175724030847995,49.83252273444704,-1101236,-478291,15.06.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,27
Moravia-Silesia,18.258831707579485,49.82822906622609,-1102228,-472375,27.06.2023,Local Road,Tram Collision,Side (Lateral),Slight,Good,Car,ŠKODA,30
Moravia-Silesia,18.196587658421606,49.81431318415944,-1103384,-476971,29.06.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,VOLKSWAGEN,29
Moravia-Silesia,18.181729748097723,49.826571204674494,-1101933,-477918,01.07.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,59
Moravia-Silesia,18.181729748097723,49.826571204674494,-1101933,-477918,01.07.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,31
Moravia-Silesia,18.23331260500848,49.80143819990204,-1105039,-474461,02.07.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Rain,Car,BMW,30
Moravia-Silesia,18.14631851793305,49.80095144950769,-1104550,-480705,06.07.2023,Second Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,MAZDA,19
Moravia-Silesia,18.245855152095515,49.77229672506966,-1108346,-473840,18.07.2023,Local Road,Tram Collision,From Side (T-bone),Slight,Good,Motorcycle,YAMAHA,48
Moravia-Silesia,18.129179746343485,49.787297926876356,-1105955,-482067,19.07.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,VOLKSWAGEN,36
Moravia-Silesia,18.129179746343485,49.787297926876356,-1105955,-482067,19.07.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,34
Moravia-Silesia,18.154512624949795,49.84163071927586,-1100094,-479723,24.07.2023,First Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,FORD,39
Moravia-Silesia,18.241538585303285,49.7680938382774,-1108785,-474190,10.08.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,47
Moravia-Silesia,18.27237051054335,49.81651170313486,-1103610,-471516,19.08.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,28
Moravia-Silesia,18.265252915423133,49.82641182739191,-1102469,-471932,21.08.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,66
Moravia-Silesia,18.289354597255336,49.85664327097898,-1099267,-469917,24.08.2023,Second Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,53
Moravia-Silesia,18.27408540890106,49.80737583581992,-1104633,-471480,25.08.2023,First Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,23
Moravia-Silesia,18.27408540890106,49.80737583581992,-1104633,-471480,25.08.2023,First Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,62
Moravia-Silesia,18.304172053071817,49.86227256397164,-1098734,-468802,28.08.2023,Second Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,HONDA,31
Moravia-Silesia,18.304172053071817,49.86227256397164,-1098734,-468802,28.08.2023,Second Class Road,Moving Vehicle Collision,Frontal,Serious,Good,Car,ŠKODA,47
Moravia-Silesia,18.265251724416306,49.826420784806956,-1102468,-471932,29.08.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,SUZUKI,62
Moravia-Silesia,18.35603582638456,49.81591774182303,-1104188,-465522,04.09.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Truck,VOLKSWAGEN,28
Moravia-Silesia,18.160627603852493,49.82395400861008,-1102091,-479456,05.09.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,43
Moravia-Silesia,18.248356284024325,49.808866391737894,-1104309,-473311,08.09.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,36
Moravia-Silesia,18.123317387976222,49.83068297298393,-1101111,-482065,10.09.2023,Third Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,AUDI,51
Moravia-Silesia,18.249945483451743,49.79390312268701,-1105977,-473340,11.09.2023,First Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,OPEL,27
Moravia-Silesia,18.249945483451743,49.79390312268701,-1105977,-473340,11.09.2023,First Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,HYUNDAI,30
Moravia-Silesia,18.268630092469685,49.77622911586928,-1108051,-472168,13.09.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,SUZUKI,31
Moravia-Silesia,18.160393459779144,49.843136505013035,-1099964,-479287,13.09.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,28
Moravia-Silesia,18.160393459779144,49.843136505013035,-1099964,-479287,13.09.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,MITSUBISHI,80
Moravia-Silesia,18.271188260260345,49.8582792869441,-1098974,-471203,14.09.2023,First Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,26
Moravia-Silesia,18.311957028122055,49.80524309061811,-1105102,-468784,22.09.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,VOLKSWAGEN,59
Moravia-Silesia,18.325687576467615,49.8096013851852,-1104703,-467758,22.09.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,TOYOTA,45
Moravia-Silesia,18.325687576467615,49.8096013851852,-1104703,-467758,22.09.2023,Local Road,Moving Vehicle Collision,Frontal,Serious,Good,Car,ŠKODA,45
Moravia-Silesia,18.24283500003745,49.80499362700404,-1104704,-473744,22.09.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,TOYOTA,39
Moravia-Silesia,18.26334781447283,49.84576985857204,-1100312,-471884,25.09.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,53
Moravia-Silesia,18.14567799885976,49.79888448765569,-1104775,-480771,26.09.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,FORD,46
Moravia-Silesia,18.310246891080194,49.76939798947686,-1109064,-469246,27.09.2023,Second Class Road,Moving Vehicle Collision,Rear,Slight,Good,Motorcycle,SUZUKI,42
Moravia-Silesia,18.27012558197805,49.84768978743277,-1100141,-471380,28.09.2023,Third Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Motorcycle,YAMAHA,25
Moravia-Silesia,18.26107984141253,49.84173640522941,-1100745,-472085,29.09.2023,Second Class Road,Moving Vehicle Collision,From Side (T-bone),Fatal,Good,Motorcycle,KTM,16
Moravia-Silesia,18.26974598221385,49.80834369379157,-1104499,-471782,02.10.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,HONDA,69
Moravia-Silesia,18.27903951417107,49.83499253018316,-1101603,-470862,02.10.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,40
Moravia-Silesia,18.349518540314534,49.80161055129094,-1105734,-466124,02.10.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,44
Moravia-Silesia,18.27242826418746,49.81649686668257,-1103612,-471512,04.10.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,21
Moravia-Silesia,18.27242826418746,49.81649686668257,-1103612,-471512,04.10.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,BMW,54
Moravia-Silesia,18.3019602174485,49.861266030869,-1098832,-468970,05.10.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,HONDA,57
Moravia-Silesia,18.27935160605761,49.842418139121975,-1100782,-470769,09.10.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,DACIA,34
Moravia-Silesia,18.260538568776152,49.803346294478054,-1104996,-472490,09.10.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Rain,Car,ŠKODA,28
Moravia-Silesia,18.25556352923206,49.788558556201245,-1106604,-472988,12.10.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Light Rain,Car,SEAT,50
Moravia-Silesia,18.304050971092224,49.79839023526865,-1105813,-469416,19.10.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,YAMAHA,48
Moravia-Silesia,18.303654650306974,49.77268758547364,-1108659,-469688,18.10.2023,Second Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,PEUGEOT,48
Moravia-Silesia,18.256725763330802,49.78485136672017,-1107022,-472940,24.10.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,VOLKSWAGEN,27
Moravia-Silesia,18.20773980454269,49.76869868648384,-1108508,-476610,24.10.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,PEUGEOT,59
Moravia-Silesia,18.20773980454269,49.76869868648384,-1108508,-476610,24.10.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,34
Moravia-Silesia,18.23402277222312,49.82410129694127,-1102532,-474193,27.10.2023,Second Class Road,Moving Vehicle Collision,Rear,Slight,Rain,Car,HYUNDAI,43
Moravia-Silesia,18.25141518187043,49.80799029871465,-1104425,-473100,27.10.2023,Local Road,Tram Collision,Side (Lateral),Slight,Rain,Car,ŠKODA,58
Moravia-Silesia,18.263221956570835,49.84577187968267,-1100311,-471893,25.09.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,53
Moravia-Silesia,18.256669323176336,49.81062948779074,-1104165,-472698,31.10.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Rain,Car,ŠKODA,26
Moravia-Silesia,18.256669323176336,49.81062948779074,-1104165,-472698,31.10.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Rain,Car,ŠKODA,26
Moravia-Silesia,18.265477307022046,49.78590759862488,-1106959,-472302,02.11.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,RENAULT,61
Moravia-Silesia,18.30436749868201,49.80623101270455,-1104946,-469319,01.11.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,FIAT,54
Moravia-Silesia,18.256851667394944,49.784533526127355,-1107058,-472934,02.11.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,KAWASAKI,49
Moravia-Silesia,18.257152240564388,49.83958664427105,-1100959,-472387,04.11.2023,Second Class Road,Moving Vehicle Collision,Side (Lateral),Fatal,Good,Car,BMW,37
Moravia-Silesia,18.191305179332865,49.82870782604683,-1101756,-477211,06.11.2023,Second Class Road,Moving Vehicle Collision,Rear,Serious,Good,Motorcycle,HONDA,55
Moravia-Silesia,18.350267953870606,49.83075935943253,-1102508,-465796,07.11.2023,Third Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,RENAULT,30
Moravia-Silesia,18.264427995646383,49.80513306093486,-1104822,-472194,10.11.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Rain,Truck,PEUGEOT,37
Moravia-Silesia,18.264427995646383,49.80513306093486,-1104822,-472194,10.11.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Rain,Car,ŠKODA,41
Moravia-Silesia,18.31002927915036,49.76967469928837,-1109032,-469259,13.11.2023,Second Class Road,Moving Vehicle Collision,Rear,Slight,Good,Motorcycle,HONDA,17
Moravia-Silesia,18.234437616030892,49.824232780824794,-1102520,-474162,17.11.2023,Second Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,44
Moravia-Silesia,18.280219286366485,49.80622777407223,-1104798,-471051,24.11.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,23
Moravia-Silesia,18.285669551273454,49.80487002496715,-1104982,-470673,27.11.2023,First Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,OPEL,41
Moravia-Silesia,18.319436460491648,49.862528695046464,-1098799,-467706,29.11.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Serious,Good,Car,ŠKODA,49
Moravia-Silesia,18.29387636162173,49.85517025279114,-1099458,-469607,30.11.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,SEAT,44
Moravia-Silesia,18.29387636162173,49.85517025279114,-1099458,-469607,30.11.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Truck,RENAULT,26
Moravia-Silesia,18.158765370320264,49.83453408965425,-1100907,-479487,01.12.2023,Local Road,Moving Vehicle Collision,Frontal,Serious,Snow,Car,TOYOTA,54
Moravia-Silesia,18.28473642991836,49.8383224896235,-1101269,-470422,01.12.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Snow,Car,HYUNDAI,57
Moravia-Silesia,18.246551658159188,49.79070864331107,-1106310,-473614,02.12.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,VOLKSWAGEN,42
Moravia-Silesia,18.33348658729901,49.85196984324102,-1100055,-466799,07.12.2023,Third Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Light Rain,Car,BMW,62
Moravia-Silesia,18.293554696118946,49.859916723642996,-1098930,-469585,11.12.2023,Second Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,CITROEN,51
Moravia-Silesia,18.293554696118946,49.859916723642996,-1098930,-469585,11.12.2023,Second Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,FORD,66
Moravia-Silesia,18.243065578036845,49.842158061386385,-1100587,-473372,15.12.2023,Third Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,VOLKSWAGEN,70
Moravia-Silesia,18.243065578036845,49.842158061386385,-1100587,-473372,15.12.2023,Third Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,CITROEN,49
Moravia-Silesia,18.20304328573379,49.81027221168325,-1103872,-476547,30.03.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,PEUGEOT,35
Moravia-Silesia,18.101724938347346,49.78233089099849,-1106332,-484085,11.04.2023,Highway,Moving Vehicle Collision,Rear,Slight,Fog,Car,AUDI,52
Moravia-Silesia,18.101724938347346,49.78233089099849,-1106332,-484085,11.04.2023,Highway,Moving Vehicle Collision,Rear,Slight,Fog,Car,ŠKODA,49
Moravia-Silesia,18.101815659820907,49.7823811996109,-1106327,-484078,11.04.2023,Highway,Moving Vehicle Collision,Rear,Slight,Fog,Car,AUDI,52
Moravia-Silesia,18.354258778713184,49.914770812141604,-1093221,-464720,24.07.2023,Highway,Moving Vehicle Collision,Rear,Serious,Light Rain,Motorcycle,BMW,50
Moravia-Silesia,18.27906741138276,49.86716264138062,-1098038,-470554,08.09.2023,Highway,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,53
Olomouc,17.810613991750724,49.616611743171596,-1122804,-506656,05.03.2023,Highway,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,24
Olomouc,17.637260650680318,49.565757035464515,-1127272,-519660,16.10.2023,Highway,Moving Vehicle Collision,Rear,Serious,Good,Truck with Semi-trailer,MAN,48
Moravia-Silesia,17.651596353252096,49.57233502546131,-1126641,-518559,16.10.2023,Highway,Moving Vehicle Collision,Rear,Serious,Good,Truck with Semi-trailer,RENAULT,66
Moravia-Silesia,18.195446337399908,49.64807782661612,-1121797,-478655,16.02.2023,Highway,Moving Vehicle Collision,Rear,Slight,Ice,Car,VOLKSWAGEN,31
Moravia-Silesia,18.34439874205825,49.66057919801244,-1121333,-467820,22.08.2023,Highway,Moving Vehicle Collision,Frontal,Fatal,Good,Car,SUZUKI,43
Moravia-Silesia,18.34439874205825,49.66057919801244,-1121333,-467820,22.08.2023,Highway,Moving Vehicle Collision,Frontal,Serious,Good,Car,VOLKSWAGEN,52
Moravia-Silesia,18.42391300851438,49.67515213503041,-1120201,-461964,01.09.2023,Highway,Moving Vehicle Collision,Rear,Slight,Good,Truck,BMW,27
Moravia-Silesia,18.419758800600896,49.675773922192114,-1120107,-462257,10.10.2023,Highway,Moving Vehicle Collision,Rear,Slight,Light Rain,Truck,OPEL,38
Moravia-Silesia,18.568182222250687,49.71970337042239,-1116123,-451181,11.10.2023,Highway,Moving Vehicle Collision,Rear,Slight,Good,Truck,OPEL,50
Moravia-Silesia,18.425746243030503,49.67473768326579,-1120258,-461836,23.12.2023,Highway,Moving Vehicle Collision,Rear,Slight,Good,Car,TOYOTA,35
Olomouc,17.239128164078252,49.57872985935836,-1123055,-548181,06.01.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,MERCEDES,34
Olomouc,17.256810071260798,49.58114871180374,-1122914,-546882,10.01.2023,First Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,HONDA,25
Olomouc,17.12213324390964,49.78260980240613,-1099650,-554315,11.01.2023,Second Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,RENAULT,47
Olomouc,17.239917148530367,49.58817874459387,-1122015,-548020,13.01.2023,First Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Light Rain,Car,RENAULT,60
Olomouc,17.226771679085186,49.655823194373475,-1114435,-548218,17.01.2023,Third Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,64
Olomouc,17.1126103585897,49.76471501255609,-1101561,-555198,19.01.2023,Second Class Road,Moving Vehicle Collision,From Side (T-bone),Fatal,Ice,Car,ŠKODA,82
Olomouc,17.180302527195614,49.728999054507646,-1106003,-550743,23.01.2023,Second Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,BMW,23
Olomouc,17.237135913172985,49.57595305604602,-1123348,-548355,24.01.2023,First Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,RENAULT,59
Olomouc,17.237135913172985,49.57595305604602,-1123348,-548355,24.01.2023,First Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,51
Olomouc,17.252907278458114,49.58976072435662,-1121933,-547068,24.01.2023,Local Road,Tram Collision,Side (Lateral),Slight,Good,Car,FIAT,22
Olomouc,17.146667545292445,49.77294636851026,-1100897,-552665,03.02.2023,Second Class Road,Moving Vehicle Collision,Frontal,Slight,Snow,Car,FORD,44
Olomouc,17.25128795618578,49.590532472481854,-1121836,-547176,03.02.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,VOLKSWAGEN,34
Olomouc,17.17667560944208,49.70006241477737,-1109179,-551325,06.02.2023,Second Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,VOLKSWAGEN,45
Olomouc,17.220636316273843,49.60383500895595,-1120144,-549234,16.02.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,RENAULT,57
Olomouc,17.140965309729616,49.558343675281925,-1124602,-555472,16.02.2023,Second Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,YAMAHA,22
Olomouc,17.26364167130522,49.55108454174322,-1126290,-546721,17.02.2023,Highway,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,26
Olomouc,17.25170068107171,49.618345158639016,-1118761,-546840,01.03.2023,Second Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,PEUGEOT,51
Olomouc,17.293085488765367,49.81830754566108,-1096925,-541674,02.03.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,24
Olomouc,17.32159555299499,49.54925946483115,-1126905,-542568,07.03.2023,First Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,34
Olomouc,17.045939098723938,49.821325217922315,-1094811,-559336,14.03.2023,Third Class Road,Moving Vehicle Collision,Frontal,Slight,Light Rain,Car,PEUGEOT,27
Olomouc,17.264868172375422,49.55778726178105,-1125557,-546559,14.03.2023,Second Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Rain,Car,MITSUBISHI,23
Olomouc,17.264868172375422,49.55778726178105,-1125557,-546559,14.03.2023,Second Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Rain,Car,CITROEN,61
Olomouc,17.208381319431325,49.6026046871228,-1120192,-550129,17.03.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Good,Truck,FIAT,21
Olomouc,17.33619733671894,49.5516949996276,-1126739,-541490,23.03.2023,Third Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,KAWASAKI,28
Olomouc,17.201777311461857,49.63739243869291,-1116295,-550218,03.04.2023,Local Road,Train Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,52
Olomouc,17.23184142885589,49.59660115985226,-1121025,-548508,09.04.2023,First Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,21
Olomouc,17.23184142885589,49.59660115985226,-1121025,-548508,09.04.2023,First Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,SEAT,21
Olomouc,17.210826217693125,49.60279985618961,-1120188,-549951,11.04.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,TOYOTA,28
Olomouc,17.325179376225147,49.54439334549682,-1127469,-542363,15.04.2023,First Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,TOYOTA,45
Olomouc,17.182736910316006,49.619639974032985,-1118122,-551784,17.04.2023,Second Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,MERCEDES,68
Olomouc,17.182736910316006,49.619639974032985,-1118122,-551784,17.04.2023,Second Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,LANCIA,43
Olomouc,17.26302934005429,49.58783072530745,-1122219,-546361,20.04.2023,Third Class Road,Train Collision,Side (Lateral),Slight,Good,Car,TOYOTA,45
Olomouc,17.236648886635948,49.57604798490658,-1123334,-548389,27.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,PEUGEOT,24
Olomouc,17.25684709749402,49.58099749239732,-1122931,-546881,01.05.2023,Second Class Road,Moving Vehicle Collision,From Side (T-bone),Serious,Good,Motorcycle,HONDA,39
Olomouc,17.225877115888885,49.6551236366177,-1114506,-548290,09.05.2023,Second Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,22
Olomouc,17.284259003217798,49.609494393150705,-1119973,-544596,12.05.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Good,Car,TOYOTA,67
Olomouc,17.09775670442232,49.56528498146439,-1123519,-558504,18.05.2023,Second Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,PEUGEOT,41
Olomouc,17.374808854407817,49.58433608806461,-1123399,-538356,19.05.2023,First Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,FORD,38
Olomouc,17.291852551058742,49.70686215518213,-1109251,-542983,20.05.2023,First Class Road,Moving Vehicle Collision,Rear,Slight,Good,Motorcycle,SUZUKI,49
Olomouc,17.231153631290983,49.593655873978726,-1121346,-548590,25.05.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Motorcycle,HONDA,47
Olomouc,17.320007324132447,49.72199222500076,-1107776,-540797,27.05.2023,First Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,VOLKSWAGEN,39
Olomouc,17.39383568155362,49.58903258174057,-1123013,-536936,30.05.2023,Third Class Road,Moving Vehicle Collision,Rear,Slight,Good,Motorcycle,YAMAHA,59
Olomouc,17.204197733126584,49.572547426971866,-1123488,-550763,31.05.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,HONDA,43
Olomouc,17.082251849936082,49.78157942892478,-1099474,-557184,02.06.2023,Second Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,CITROEN,28
Olomouc,17.289979357932598,49.567385865746374,-1124674,-544646,07.06.2023,Second Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,OPEL,33
Olomouc,17.103449351675973,49.66021733764234,-1113057,-557028,10.06.2023,Second Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,PEUGEOT,65
Olomouc,17.232125476033175,49.56948330128763,-1124028,-548787,09.06.2023,Second Class Road,Moving Vehicle Collision,Rear,Slight,Rain,Car,VOLKSWAGEN,51
Olomouc,17.222138936309648,49.69542672825332,-1110019,-548113,13.06.2023,Third Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,HONDA,17
Olomouc,17.024485734243008,49.70908430090357,-1107072,-562145,21.06.2023,Highway,Moving Vehicle Collision,Rear,Slight,Good,Car,SEAT,35
Olomouc,17.35211447368333,49.63367464770602,-1117778,-539453,24.06.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Serious,Good,Motorcycle,YAMAHA,42
Olomouc,17.101849037697338,49.66448616331979,-1112573,-557095,25.06.2023,Second Class Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,JAWA,30
Olomouc,17.306428003071183,49.5643688479724,-1125125,-543495,26.06.2023,Third Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Motorcycle,APRILIA,34
Olomouc,17.225756765857238,49.61322191359559,-1119142,-548762,27.06.2023,Local Road,Train Collision,From Side (T-bone),Slight,Good,Truck,FIAT,20
Olomouc,17.330320896119126,49.753368965174076,-1104376,-539715,29.06.2023,First Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Motorcycle,YAMAHA,27
Olomouc,17.081106536571298,49.81719334075414,-1095525,-556865,03.07.2023,Third Class Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,OPEL,62
Olomouc,17.257276505627235,49.58109754702025,-1122923,-546849,08.07.2023,First Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,32
Olomouc,17.27907853383252,49.603531449198236,-1120596,-545034,08.07.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,SIMSON,17
Olomouc,17.13338284605312,49.64492401739024,-1114967,-555049,16.07.2023,Highway,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,23
Olomouc,17.27871270011551,49.46295354260315,-1136151,-546603,20.07.2023,Second Class Road,Moving Vehicle Collision,Frontal,Serious,Good,Car,ŠKODA,73
Olomouc,17.081881412756086,49.68402840971032,-1110265,-558309,23.07.2023,Second Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,FORD,73
Olomouc,17.22980720587418,49.57834217347059,-1123031,-548856,25.07.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,CITROEN,66
Olomouc,17.27257387454663,49.480963330914754,-1134114,-546848,25.07.2023,Second Class Road,Moving Vehicle Collision,From Side (T-bone),Slight,Rain,Car,HYUNDAI,75
